Group,002-00001 v3,002-00005 v3,002-00007 v3,002-00014 v3,002-00031 v3,002-00036 v3,002-00037 v3,002-00040 v3,004-00003 v2,004-00006 v3,004-00008 v3,004-00009 v3,004-00016 v3,004-00017 v2,004-00024 v3,004-00025 v3,002-00003 v3,002-00008 v3,002-00012 v3,002-00016 v3,002-00018 v3,002-00021 v4,002-00022 v4,002-00024 v2,002-00028 v4,002-00029 v3,002-00035 v3,004-00012 v2,004-00022 v3,004-00028 v2,004-00030 v2
AD-1,2440.19,2392.45,3437.72,2600.67,1445.88,3615.59,1521.93,5055.63,7282.93,5650.2,2644.25,6112.05,3798.22,1083.24,6021.21,2864.93,3799.69,2210.64,2480.61,984.46,2663.8,410.8,1654.4,2419.03,1521.1,2355.78,1447.46,5582.48,4575.84,1968.94,4354.95
AD-2,2285.71,1973.45,3502.5,2231.31,1272.41,2971.98,1420.4,4200.05,6106.41,5033.24,2429.76,4924.5,2564.55,900.52,3933.6,2507.57,3396.64,2381.21,3042.07,855.57,1938.98,322.14,2134.45,1942.2,1402.64,2622.57,1217.12,2794.38,3281.12,2157.35,2627.19
AD-3,4988.47,2549.51,5360.85,5076.87,4959.73,5373.72,6283.13,8099.18,11051.08,8230.62,7636.65,5932.75,4217.69,1433.6,8951.28,5920.39,4778.17,2743.08,7356.53,2536.15,5898.69,382.84,2716.33,3290.28,2313.07,2456.48,6036.24,3519.32,4896.69,2467.29,3441.52
AD-4,2207.61,2311.7,3465.89,2101.36,1373.88,2940.81,1388.76,4129.27,6641.56,5570.08,2714.08,6005.07,3950.35,1068.04,6171.69,2778.17,3507.58,2164.11,2719.12,965.31,2391.58,337.03,1568.01,2173.29,1485.29,2307.83,1389.83,3172.98,4679.37,2158.84,4178.07
AD-5,3176.75,3202.54,4861.18,2641.23,2529.25,5780.5,1865.51,6981.33,12051.48,9162.17,3405.46,7467.43,5127.74,1483.38,8737.83,3858.51,4621.89,2808.68,3049.78,1060.65,3375.6,360.94,2080.7,2941.98,1790.44,2840.73,1771.87,4137.02,5536.38,3481.96,5380.77
AD-6,2616.89,2742.64,3858.28,2499.55,1585.56,4186.69,1676.97,5382.22,9734.11,6677.64,3105.41,7019.14,4380.33,1256.67,6749.47,3521.22,4178.78,2685.66,2803.58,1104.67,2881.64,351.86,1783.3,2707.9,1483.81,2759.72,1587.28,3684.08,5468.19,2581.39,4338.58
