Peptide,002-00001 v3,002-00005 v3,002-00007 v3,002-00014 v3,002-00031 v3,002-00036 v3,002-00037 v3,002-00040 v3,004-00003 v2,004-00006 v3,004-00008 v3,004-00009 v3,004-00016 v3,004-00017 v2,004-00024 v3,004-00025 v3,002-00003 v3,002-00008 v3,002-00012 v3,002-00016 v3,002-00018 v3,002-00021 v4,002-00022 v4,002-00024 v2,002-00028 v4,002-00029 v3,002-00035 v3,004-00012 v2,004-00022 v3,004-00028 v2,004-00030 v2
Peptide_001,1978.00,1686.33,2325.50,2055.67,1248.00,3043.33,1218.00,4136.00,6294.67,4087.33,1962.00,3787.33,2253.00,880.33,3677.00,2258.67,2855.67,2054.33,1567.67,793.67,1992.00,286.00,1502.33,1865.67,1111.33,1729.00,1226.33,2654.33,1959.00,1327.00,2523.67
Peptide_002,2011.78,2106.11,3117.11,1897.11,1185.44,4741.44,1413.44,5012.11,7628.78,4305.11,2201.78,4562.44,2338.78,870.78,4233.78,2422.44,3080.11,2026.11,1882.44,742.11,2007.44,322.44,1470.44,1772.78,1164.44,1833.44,1310.11,2788.11,2348.78,1681.11,2744.11
Peptide_003,1878.44,1764.44,2958.44,2005.11,1268.78,3226.11,1244.78,4055.11,6125.44,4138.44,2112.11,4361.11,2724.11,855.78,3502.11,2418.78,3172.11,1919.78,1947.78,815.78,1841.11,305.11,1164.11,1578.44,1211.78,1860.11,1256.11,2368.78,3184.44,958.44,2607.11
Peptide_004,1983.61,2027.28,2798.28,1742.94,1163.28,2577.94,1232.94,3313.94,4887.94,4874.94,2252.94,4619.61,3704.61,930.61,5004.28,2396.61,3029.61,1813.94,1840.28,783.28,1891.94,327.61,2039.28,2353.28,1266.94,1862.61,1318.28,3686.28,3644.28,1716.94,3566.61
Peptide_005,2628.72,2801.72,4240.39,2395.72,1582.06,9814.06,1957.39,7496.06,12404.72,5169.72,2838.06,5812.39,2755.39,1166.39,5589.06,2547.72,4509.72,2957.72,2930.72,935.39,2259.39,440.39,2939.39,1967.39,1517.39,2482.06,1793.39,3508.06,4655.72,1660.39,3804.06
Peptide_006,855.94,887.61,1512.94,1081.28,632.28,1029.28,620.28,1671.94,2239.28,2059.61,1057.28,2364.28,977.28,376.28,1672.61,1232.61,1547.94,1113.28,1394.94,426.28,857.94,188.61,951.94,883.44,648.28,940.61,636.94,1193.28,1805.94,389.28,1025.61
Peptide_007,1679.44,1000.44,2098.44,1585.44,848.44,1260.11,1109.44,2956.11,3263.11,3467.78,1502.44,3217.44,1065.44,415.44,1606.11,1354.44,2029.11,1437.78,3083.44,564.11,1154.44,252.78,1881.11,1536.44,1187.11,2708.11,740.44,1441.11,1811.11,577.44,1378.44
Peptide_008,3102.72,1562.39,3022.72,2593.39,1122.39,1644.06,1783.39,4943.39,3940.06,6909.39,1991.06,3907.06,1602.72,759.06,1905.39,2159.06,2777.72,1975.72,3221.06,844.39,1978.39,219.06,5403.72,2147.89,1901.06,3309.39,908.39,3045.06,2276.39,1535.06,3416.39
Peptide_009,2552.22,2094.56,4019.56,2508.56,1459.89,1774.56,1560.89,3709.56,5598.89,6166.89,2712.89,5665.56,3627.22,1334.89,5903.22,3334.89,3394.56,2532.22,3542.89,1190.56,2362.22,351.22,2386.89,2438.22,1496.89,2675.89,1305.22,3388.56,3955.22,7278.06,2988.56
Peptide_010,2018.94,1330.61,2368.28,2038.94,976.61,1365.28,1029.61,3913.28,3695.28,3331.28,1871.61,4007.94,1249.61,484.94,1611.28,1451.61,2368.28,1913.94,3036.28,612.61,1323.61,209.61,1748.94,1474.61,1283.61,2232.94,773.61,1819.28,1787.28,672.28,1551.61
Peptide_011,1516.00,1509.33,2534.33,1754.33,970.00,1521.67,888.33,2875.00,3589.67,2999.33,1698.67,3637.00,1257.33,495.00,2070.00,1524.33,2610.00,1907.67,2156.00,666.67,1423.67,237.33,1058.67,1725.33,933.00,1604.00,904.00,1824.67,2329.67,447.00,1604.67
Peptide_012,2086.28,1317.28,3241.28,2185.94,998.61,1614.61,1139.28,3448.61,4080.61,4253.61,2143.94,3712.28,1129.28,501.61,1730.28,1494.28,2956.61,2023.28,3760.28,629.28,1386.94,251.28,1794.28,1265.61,1278.28,2855.28,884.94,1728.28,2417.94,563.61,1312.61
Peptide_013,1581.28,1240.28,2070.61,1630.94,829.28,1244.28,1075.94,3038.94,3684.61,3617.28,1708.94,3473.28,1156.28,455.94,1879.61,1331.61,1999.61,1391.61,1944.61,559.28,1271.61,238.94,1822.61,1590.28,1341.94,1816.28,801.28,1608.28,883.61,754.61,1432.28
Peptide_014,5159.61,4632.28,6824.61,3920.61,2341.61,6206.61,2822.61,8424.94,16389.28,12804.28,6110.61,10763.94,9037.94,2548.28,15632.94,7436.94,5756.61,4977.94,4286.28,1907.28,4488.61,731.61,2899.94,3577.44,2602.28,4462.94,2642.28,7765.28,7637.94,10447.61,6400.28
Peptide_015,3322.11,3455.78,7177.78,3728.44,2219.44,2050.44,2062.78,3673.11,7689.78,6747.44,3737.44,7806.44,3285.11,1136.11,2921.11,3438.78,7768.11,4717.11,6180.78,1131.44,3177.44,307.11,1609.44,2585.94,1816.44,5763.44,1755.44,2971.78,4405.11,1790.11,2782.11
Peptide_016,1818.22,2011.22,3583.89,1937.22,1237.22,6716.56,1303.56,5620.56,8428.89,3762.89,2184.56,5215.89,2330.22,993.89,4269.56,2616.22,3457.56,2323.56,2666.22,851.22,1677.89,446.56,1991.22,2019.06,1116.56,1984.22,1250.22,2558.56,4683.56,1302.89,2766.56
Peptide_017,1694.89,1757.56,3541.89,2134.56,1432.56,2788.22,1299.22,3715.22,5597.56,4300.89,2206.22,4739.89,2725.22,1008.89,3274.89,2786.89,3347.56,2251.22,2545.22,876.22,1891.56,307.89,1354.89,1625.89,1247.22,2018.22,1325.22,2582.89,3641.89,1067.56,2750.89
Peptide_018,2116.33,2300.00,4222.33,2121.00,1575.33,3154.00,1569.67,3800.67,6076.33,5266.33,2829.33,5691.00,2710.00,994.00,4642.33,2870.00,4146.67,2823.00,3013.33,903.00,1946.67,460.33,1708.67,3023.33,1337.00,2237.00,1556.33,2716.33,3955.00,1795.33,3694.33
Peptide_019,1773.22,1976.22,3544.56,2060.22,1368.56,2685.56,1193.56,3553.89,5836.22,4405.56,2275.89,4733.89,2878.89,1101.22,3806.06,2867.89,3473.89,2352.56,2665.22,990.89,1893.56,269.56,1196.56,2855.89,1194.89,1937.56,1323.22,2426.06,4148.89,1375.56,3257.89
Peptide_020,2845.56,2791.89,4418.56,2371.56,1528.89,3816.56,1880.56,4710.89,7454.89,8170.22,3303.89,6422.22,4350.22,1292.89,7329.56,3388.89,4167.22,2668.89,2932.56,1214.22,2873.22,374.22,2552.89,2744.89,1624.22,2345.89,1463.56,3833.56,4943.89,2522.22,4688.89
Peptide_021,2497.33,2869.33,3463.67,1643.67,922.00,4615.33,1591.33,8434.33,10307.00,5859.33,2276.33,4265.33,1885.33,858.00,3804.00,3014.33,2365.00,2334.33,1959.67,861.33,1862.00,358.33,1625.33,1953.00,1154.00,1294.33,1231.00,2570.33,2676.67,1674.00,1916.00
Peptide_022,790.28,411.61,782.28,517.28,301.11,574.28,629.94,1831.28,1382.94,2043.94,887.28,2293.61,474.94,161.11,3695.28,689.94,666.61,653.94,1738.28,363.28,644.61,147.61,630.28,501.94,704.61,1410.28,346.28,811.61,1101.94,238.28,403.28
Peptide_023,1558.44,1292.11,2891.11,1833.11,1111.11,1383.11,1058.78,2856.78,4455.11,3817.11,2087.44,3812.44,1648.11,644.44,1941.11,1846.44,2810.44,2040.44,2792.44,754.11,1468.11,231.78,1106.11,1682.78,1084.44,2103.78,936.78,2341.11,2336.11,699.44,1594.78
Peptide_024,2940.86,3667.86,3494.86,2802.86,1351.19,4839.19,801.86,9764.86,10994.86,7435.19,2582.86,7424.19,5461.53,1369.53,3759.36,2063.19,5395.53,2827.86,2428.53,1356.19,3966.53,485.53,1912.86,2590.19,1941.19,2650.53,1761.19,5035.53,5483.19,5083.86,7929.53
Peptide_025,3071.83,2598.17,4102.17,2628.17,1424.17,4485.50,1796.83,5602.50,8483.17,6944.17,3482.17,8120.17,3760.83,1132.50,7860.83,3130.17,4378.50,2453.50,2110.83,1174.50,3815.83,319.50,1713.17,1990.33,1851.83,2677.17,1815.17,3340.83,2432.83,1248.83,4785.50
Peptide_026,4772.94,4945.28,6253.28,2939.94,2089.61,7591.94,2608.61,8472.94,14961.94,14062.28,6230.61,14885.61,8175.94,1981.28,17980.28,4784.94,5990.28,3231.28,2829.61,1798.94,6043.61,753.61,2632.61,2838.78,3670.61,4742.94,3070.61,6194.28,7343.94,4235.28,12043.61
Peptide_027,6440.36,7140.36,8445.03,3196.36,2295.03,7014.03,2199.03,8939.03,13467.69,12709.03,4692.36,16069.36,7737.03,1662.03,14409.69,2660.03,7390.36,2585.69,2622.69,2071.03,6910.69,867.03,2519.03,4029.03,4543.03,5149.36,3113.69,4816.03,5561.03,2885.03,10590.03
Peptide_028,3343.72,1632.72,6149.06,3098.72,1687.39,1982.39,1809.06,4845.72,6758.06,5346.39,3693.39,7540.72,2486.06,737.72,2590.06,2609.39,5413.39,3610.39,6055.39,1127.39,3208.06,312.06,1604.72,3500.72,1741.39,4392.72,1704.72,2877.06,1959.39,603.39,1358.06
Peptide_029,3123.06,2614.72,8622.06,4543.72,1839.39,2060.06,2089.39,3540.72,7019.39,6105.72,4464.39,8333.72,4291.06,1515.72,3126.72,4432.39,8442.72,4897.72,6803.06,1390.06,3256.06,278.72,1841.39,5208.39,1759.39,4938.72,1936.39,3317.06,5867.39,1397.72,4905.39
Peptide_030,2058.50,2361.83,4156.83,2219.50,1423.50,2702.50,1426.83,3562.83,6123.17,4755.17,2516.83,5524.83,3340.50,1224.17,4835.00,3227.83,3403.83,2546.17,2691.83,1017.50,2147.17,325.50,1236.83,1986.50,1175.17,2392.17,1507.17,2802.17,4744.17,2102.17,3461.50
Peptide_031,4357.28,4698.61,4628.61,2859.94,1828.94,9172.94,2251.94,9564.94,16570.61,10661.28,5080.61,11426.28,8529.28,1741.61,18169.61,4552.94,5587.94,3063.28,2683.94,1297.61,5215.28,513.94,1829.94,2619.11,2420.28,3669.28,2679.94,6057.61,9386.61,5171.94,10391.94
Peptide_032,4392.17,4226.83,5778.17,2381.50,1510.83,5559.17,2179.50,7261.17,11528.50,11678.50,4732.83,11571.17,6884.83,1495.83,14702.50,3583.83,5370.83,2725.17,2785.50,1190.83,4593.17,754.17,3197.50,2261.00,2761.83,3043.17,2317.50,5967.83,5825.17,4085.50,8367.17
Peptide_033,3564.25,2805.92,4840.92,1984.58,548.92,12654.92,2240.92,13321.58,20622.58,9902.25,2639.25,7979.25,5578.58,847.25,13082.25,4146.25,3971.92,2148.25,1338.58,-85.75,3733.25,-313.75,2442.25,3525.25,920.58,1395.92,1243.25,4149.92,4330.25,2019.58,4663.25
Peptide_034,4490.06,2874.72,4663.72,1998.72,1032.06,8576.39,2601.72,7924.39,11431.72,11657.72,3166.72,8921.06,5299.72,1356.72,10531.39,3826.39,4305.72,2265.72,2099.06,663.06,3692.72,511.39,5183.72,3359.39,1863.39,1914.72,1726.39,4368.06,4886.06,2255.06,5253.06
Peptide_035,2725.39,3334.39,4654.72,2719.39,1449.72,6324.39,1573.39,7970.39,11615.72,6463.06,3062.06,6915.72,5282.72,1310.06,9986.39,3702.72,4566.39,2804.06,2474.72,1115.06,3187.06,336.39,1512.39,3194.39,1486.72,2355.06,1746.72,4111.72,5800.72,4067.39,6721.39
Peptide_036,2947.11,2367.78,4137.44,2265.78,304.44,10528.11,1730.11,13653.78,19117.11,8322.78,2664.11,6469.11,5597.44,861.11,11417.44,4395.78,3967.44,1906.78,1196.78,-189.89,2942.78,-424.22,1728.11,3383.44,774.11,1340.78,931.44,4965.11,4789.78,2650.11,4657.44
Peptide_037,3355.56,3179.56,4904.89,2363.56,925.56,12402.89,2201.22,15456.22,24046.56,12461.22,4223.56,8703.56,7480.22,1118.22,16040.22,4675.56,4983.22,2484.22,1324.22,400.56,3883.22,124.89,2200.22,2641.39,1610.56,1966.56,1758.56,5965.22,4286.39,5235.89,7159.22
Peptide_038,3316.78,3538.11,4877.78,2491.44,1546.11,9657.44,2357.11,9097.78,15826.78,9290.11,4062.44,8567.78,8302.44,1543.44,15544.44,4433.78,4909.11,2764.44,1904.78,913.78,3581.11,436.11,2688.44,4016.11,1814.78,2771.78,2184.44,5701.78,6014.61,5707.11,8704.44
Peptide_039,3162.00,3726.00,4954.33,2422.67,1620.00,5371.00,2053.67,5330.67,8857.00,8674.00,3828.00,8440.67,7221.33,1544.67,13486.00,4002.67,4514.33,2650.67,2055.33,1034.67,3037.33,546.33,3240.00,3656.33,1935.33,2705.67,2028.33,5407.67,10599.67,4601.33,8524.67
Peptide_040,3233.39,4223.72,3765.72,2459.72,1901.06,4826.39,1940.06,5212.06,9260.06,9584.06,3764.39,7902.06,7548.72,1735.72,13819.39,4334.39,4771.06,2600.06,2119.72,1256.72,3145.72,509.39,2591.39,3605.72,2003.72,2987.39,2209.39,5268.72,6290.72,5573.72,8376.39
Peptide_041,2083.61,1612.28,3845.28,1998.28,1600.61,1736.61,1451.61,3260.28,5915.94,5365.94,2941.61,5818.94,3051.94,1055.61,4098.61,2903.28,3238.28,2573.61,3291.28,1059.94,1968.94,286.61,1411.61,2591.28,1500.94,2214.61,1423.94,2786.28,3817.94,1335.94,2961.94
Peptide_042,3035.11,2478.11,6058.78,3054.11,1897.44,2159.44,1898.44,3944.44,7741.44,6462.44,3854.44,7931.78,3337.11,1227.44,3905.11,4058.11,5398.78,3356.78,5267.78,1256.11,2926.44,318.44,1571.44,2493.94,1566.78,3901.78,1730.78,3160.11,5392.44,1195.44,3102.78
Peptide_043,2961.94,1631.28,4532.94,2371.61,1583.94,1861.61,1789.61,4582.28,7846.28,5840.28,2881.94,6409.28,2021.28,733.28,2112.28,2289.94,3882.94,2682.61,5304.28,1026.61,2225.28,275.61,1556.61,2789.61,1501.61,3101.28,1382.94,2638.61,2541.61,1396.94,1303.28
Peptide_044,4345.50,4169.83,7197.83,3888.50,2382.50,3303.17,2235.50,5840.50,10611.17,9495.17,4645.50,9994.50,4346.50,1588.50,6042.17,4299.50,7473.50,4182.17,6221.17,1787.17,4691.17,381.83,2844.83,4258.50,2036.50,4717.50,2189.17,3964.50,5315.50,4446.50,4463.83
Peptide_045,4337.39,5226.39,6965.72,3484.06,2142.06,11594.39,2730.06,12565.06,26011.39,12813.39,5194.72,11149.39,7621.72,2168.06,17799.06,7207.06,5928.06,4281.72,3667.72,1812.06,5118.06,561.06,2513.06,3427.22,2062.39,3648.06,2756.72,5821.39,8368.72,8913.06,7834.06
Peptide_046,5294.08,5272.08,7447.42,3184.08,1384.75,19237.08,2831.75,20155.08,40540.75,16662.75,6025.08,14244.08,11905.75,1602.08,25914.42,6918.42,7144.75,3546.75,2180.42,597.08,5778.42,86.08,2759.75,5454.08,2033.42,3366.08,2540.42,8514.08,10100.75,8832.42,12979.75
Peptide_047,4378.28,4930.28,6368.61,3250.61,1677.28,14125.94,2529.61,14025.28,25583.94,13307.94,5412.28,12334.28,10822.61,2116.28,22144.61,5712.61,6512.28,3548.28,2430.94,1041.61,5321.28,294.94,2028.61,4879.61,2275.94,3195.28,2362.61,7376.94,10729.94,7181.28,12323.94
Peptide_048,1929.06,2024.72,3109.39,2094.72,1310.39,3499.72,1483.06,4271.06,6467.39,4571.72,2288.06,4968.06,3221.72,931.72,5201.39,2637.72,3058.72,2054.72,1990.06,888.39,2296.39,299.72,1462.06,1985.22,1265.39,1826.39,1312.72,2729.72,2941.22,1976.06,3422.06
Peptide_049,2653.06,2786.06,3657.06,2106.06,1341.72,5695.39,1918.39,5915.06,9390.72,7103.72,3207.06,6749.39,6567.72,1255.39,10670.06,3182.72,3654.39,1997.06,1631.72,889.06,2952.06,472.06,2245.72,2931.72,1753.72,2119.72,1743.06,4679.72,8032.39,3530.06,6421.39
Peptide_050,1583.33,2230.67,2663.33,1608.00,747.33,1403.00,1029.00,2150.67,3296.67,4628.67,1917.67,3413.33,2276.67,739.67,5160.33,2013.67,2386.33,1307.67,1255.67,607.33,1446.00,269.67,4029.67,2016.00,1096.33,1323.00,997.33,3712.67,4413.50,1719.67,2442.00
Peptide_051,2523.67,2729.00,4466.67,2074.33,1540.00,3162.67,1145.83,4207.67,7624.67,6426.00,3438.33,6332.33,2990.33,1236.00,6150.00,3386.67,3567.33,2847.00,3579.33,968.83,2428.67,404.67,2412.67,2819.67,1710.67,2636.67,1519.00,3606.00,4368.83,3541.00,2477.00
Peptide_052,2177.17,1656.50,4245.50,2395.50,1552.17,1607.17,991.50,2802.50,5068.17,4157.17,2420.83,5134.50,2732.83,919.17,2569.17,2604.50,3643.17,2553.17,3826.17,981.50,1887.83,288.50,1234.83,1834.00,1312.83,2882.83,1227.50,2505.50,3279.17,768.50,2122.83
Peptide_053,2256.39,1703.72,4520.72,2576.06,1630.39,1547.39,1491.06,2961.39,5497.39,4503.06,2821.72,5656.39,2799.39,959.72,2721.06,2946.72,3914.39,2954.06,4367.39,1072.39,1954.39,259.39,1346.39,1848.89,1305.06,3169.72,1245.39,2665.72,3467.39,658.39,2377.72
Peptide_054,1774.33,1154.33,3579.33,1737.33,1063.00,1422.67,811.17,3258.33,4240.67,3819.67,2255.67,4818.67,1338.67,483.00,1655.33,1910.67,2688.00,2088.67,3922.00,649.00,1445.33,219.00,1213.33,1053.17,1166.00,3024.33,941.67,1645.33,1825.33,409.67,1313.33
Peptide_055,2769.39,2652.72,4555.06,2361.06,1490.39,6826.39,1738.72,7287.72,13219.06,60081.39,3288.72,6368.39,2947.72,962.72,5867.72,3476.06,3730.06,2828.39,2896.72,1016.39,3209.39,376.72,1476.72,1980.89,1439.72,2716.06,1719.72,2731.39,4273.72,1806.39,3153.06
Peptide_056,3781.72,4178.39,5641.39,2592.39,1562.72,8235.06,2263.39,9192.06,19181.06,48343.06,4143.39,8332.39,5128.72,1616.06,10643.39,5402.72,4357.39,3515.39,3446.06,1267.06,3977.39,423.39,1827.39,2307.56,1830.06,3150.72,2001.72,4033.39,5333.72,4169.39,4336.72
Peptide_057,3903.75,5371.42,6084.75,2987.42,1311.42,11781.42,2368.08,12607.75,30068.08,11206.42,3738.75,6538.75,6674.75,2090.08,12721.42,6679.08,6788.75,3755.08,2923.75,877.42,3970.08,301.75,3044.42,3749.75,4083.75,2308.08,1998.42,5332.75,6272.75,7035.08,5231.42
Peptide_058,4137.67,4411.00,5663.33,2973.33,1656.67,5894.00,2315.67,8641.67,17266.00,9532.33,4184.67,7662.00,4453.00,1796.00,6361.33,5924.00,4568.33,4084.00,4199.33,1410.33,3722.67,437.00,2555.33,3521.33,1914.00,2901.00,1907.00,4062.67,7058.67,5196.33,3222.33
Peptide_059,3179.61,2928.94,4295.61,2739.94,1383.94,3815.61,1665.28,5875.28,10463.28,7662.28,3044.28,6392.94,3836.28,1426.94,6973.94,4011.94,3937.28,2948.94,2749.94,1222.94,3048.28,341.61,3376.28,2920.94,1519.61,2402.28,1478.94,4161.61,4728.61,2524.61,3555.61
Peptide_060,3484.06,3182.06,5311.06,3119.06,2038.39,2880.72,2062.72,4977.06,8874.72,7203.39,4013.39,7759.72,3936.06,1658.06,6232.39,4226.72,4822.06,3146.72,4102.72,1398.39,3904.39,335.39,2548.39,2953.39,1837.39,3280.39,1883.72,3422.39,5030.72,2044.39,4075.06
Peptide_061,4659.17,3687.83,5532.83,3367.83,2282.83,3341.50,2211.17,5128.17,9571.17,10398.83,5455.17,11324.50,6633.83,1900.83,14883.83,4398.83,6619.83,3526.83,4239.83,1884.83,4926.83,459.17,2365.17,2905.00,2928.50,5508.50,2257.83,5220.50,6467.50,4701.50,10359.17
Peptide_062,1419.56,980.22,2363.56,1527.22,912.22,1386.89,545.72,2486.89,3626.89,3268.22,1743.89,3817.56,1678.89,550.22,2257.22,1780.22,2325.22,1489.22,1812.56,641.89,1274.89,239.89,1080.89,882.22,1073.22,1479.22,837.89,1854.56,2207.56,360.56,1624.22
Peptide_063,2299.78,1297.44,2429.11,1775.11,850.78,960.78,1037.11,2499.11,3548.78,3458.78,1180.78,2960.11,1881.78,641.11,1647.11,910.11,3122.78,1213.44,2354.78,732.78,1574.11,337.44,2416.44,1357.11,1439.78,1835.11,816.44,1562.78,1371.78,1168.78,1835.78
Peptide_064,8048.69,8725.03,8343.69,6585.03,4334.03,7547.03,4644.36,9212.03,13712.03,9017.03,3242.36,6097.03,8746.69,7265.36,8446.69,6846.69,6233.19,3903.69,5877.03,2295.03,6668.03,1367.03,6315.69,6423.36,4131.69,3516.19,3352.03,7978.69,8793.36,16192.03,9354.36
Peptide_065,5799.83,7121.50,8314.50,4134.50,2381.17,25305.50,3938.50,25219.50,45146.83,12034.50,4458.50,8712.17,13492.17,6350.17,25321.17,9939.83,8261.50,3900.83,3463.83,-75.50,7983.17,113.83,2942.83,6011.50,2779.83,4395.83,2789.17,11983.83,11746.50,16708.83,14331.17
Peptide_066,3618.06,4214.72,5697.06,3122.39,2092.06,3730.06,2174.06,4658.06,9004.72,8794.39,4188.72,8543.06,5996.39,1717.72,11267.06,4386.72,5694.06,3542.72,3904.72,1405.72,4253.39,379.06,1720.06,3679.39,2138.72,3832.72,2104.72,4392.06,6874.72,3626.06,7729.39
Peptide_067,1962.28,2108.28,3553.61,2100.61,1346.28,2699.28,1283.28,3611.61,5726.28,4268.28,2205.94,4728.28,3361.28,1093.28,4379.94,2874.61,3433.61,2071.94,2467.61,848.28,2104.61,267.94,1077.94,1624.94,1173.28,2071.28,1272.61,2895.61,4749.94,1856.28,3396.94
Peptide_068,2086.42,2042.75,3952.08,2408.42,1582.08,2286.75,1543.75,3305.75,5815.42,4277.08,2403.75,5361.75,3534.08,1217.42,3859.75,3099.08,3723.08,2437.75,3218.08,1048.75,2037.08,315.75,1382.08,2684.08,1214.42,2446.75,1351.08,3149.08,5190.75,1711.75,4061.42
Peptide_069,2204.06,2158.06,4030.72,2339.39,1544.06,2457.72,1500.06,3564.06,6024.72,5263.72,2724.72,6132.39,3687.06,1244.06,4443.72,3502.06,3947.39,2568.06,3200.39,1096.39,2210.06,297.06,1319.39,2663.39,1261.06,2680.72,1447.72,3065.06,5057.06,1360.39,3846.06
Peptide_070,2256.94,2337.94,8298.61,2294.28,1457.61,2989.94,1086.78,4275.94,7370.94,5946.61,3130.61,6298.28,4362.61,1358.94,4287.94,4107.61,3775.28,2956.94,3386.28,1082.61,2307.28,372.94,1420.94,2696.28,1311.61,2361.61,1410.28,3213.94,5123.28,1575.94,3079.94
Peptide_071,2984.94,2986.94,5547.61,3549.28,1828.94,3263.94,1777.61,4618.94,8337.94,6560.61,3635.28,7770.28,4665.94,1643.28,5839.94,4377.94,5852.61,3846.28,4263.61,1420.28,2940.28,392.94,1493.28,3812.61,1547.94,3195.94,1784.28,3171.94,5880.94,2822.28,5057.28
Peptide_072,2601.50,2153.17,4012.83,2990.83,1751.17,2858.50,1673.50,4357.50,7818.83,5168.83,3210.83,6513.17,3659.83,1272.83,3609.50,3710.50,4604.17,2772.83,3357.17,1248.83,2923.50,315.50,1655.50,2463.17,1551.83,2423.83,1404.83,3108.83,4541.83,1927.83,3948.83
Peptide_073,2453.11,3025.78,3503.11,2461.78,1500.44,7881.11,2038.78,6070.78,12669.11,6584.44,3035.11,7841.44,5292.11,1316.78,8850.44,3772.11,3710.11,2352.78,1922.44,1192.44,3176.44,558.44,1543.44,3530.11,1449.78,2486.78,2051.44,3738.44,6015.78,3489.11,5210.11
Peptide_074,1957.06,2062.39,3277.39,2053.72,1349.06,3149.72,1270.06,3993.72,6812.39,4547.06,2291.72,5084.06,3154.72,1051.39,4648.39,2851.39,3226.06,2034.39,2121.72,982.39,2189.39,300.06,1218.06,2552.72,1238.39,2094.72,1357.39,2783.06,4508.72,1688.39,3602.72
Peptide_075,1813.33,2336.67,3173.00,1983.00,1385.33,3323.00,1226.33,4182.67,7037.67,4518.00,2229.00,4511.67,3469.00,1149.33,5391.00,2672.33,3202.00,1745.33,1977.33,955.67,2021.33,315.33,1147.33,2672.00,1145.00,1979.00,1365.67,2663.00,5154.33,1858.00,3239.00
Peptide_076,2327.94,2788.61,3739.61,2171.28,1584.94,4167.61,1646.28,4293.94,7383.61,5381.28,2473.28,5348.28,4531.61,1275.28,7593.28,3189.94,3681.61,2259.94,2501.61,1203.28,3001.94,388.94,1358.94,2836.28,1361.28,2491.94,1660.28,3234.94,6856.61,2564.94,5049.28
Peptide_077,2479.89,2665.56,3423.56,1947.56,49505.22,2027.56,1522.22,3405.56,6060.56,5981.56,3349.56,6586.89,8016.22,1254.22,7811.56,3177.22,4127.56,2535.89,3011.22,1073.22,3294.56,322.56,1331.56,1642.22,1637.89,2756.56,1662.89,3462.22,9226.89,1386.56,4779.56
Peptide_078,1711.78,1516.44,2582.78,1724.78,8808.78,2513.78,1139.44,3928.44,5646.11,3583.44,2005.11,3864.44,1606.11,569.78,2192.44,2141.11,2332.78,2119.11,2502.78,645.78,1513.44,245.78,1215.44,960.11,1185.78,1755.44,923.11,1738.78,2320.11,530.11,1405.44
Peptide_079,3009.64,3753.31,4215.64,2396.31,1556.97,14087.64,1863.64,13547.31,22739.31,6734.64,3083.64,6819.97,6954.31,1259.97,11234.64,3609.97,4780.64,2974.97,2068.64,790.97,3458.31,294.64,1401.64,3180.64,1428.64,2515.31,1820.97,4209.97,6721.31,3913.31,6070.31
Peptide_080,2007.06,2542.06,3237.06,2079.39,1291.72,4737.06,1413.39,5489.06,8445.72,4747.06,2181.72,5433.72,3518.72,1059.06,5522.06,2897.39,3262.06,2274.39,2197.06,828.39,2227.39,341.39,1180.06,1773.39,1136.72,1896.06,1281.06,3156.06,4721.72,1962.39,3359.06
Peptide_081,2665.94,2976.28,4080.61,2205.61,1275.94,7014.94,2051.61,9025.61,14892.94,5631.94,2682.28,6557.28,4176.28,1101.61,7020.94,3193.61,4096.94,2558.28,2259.61,853.61,3066.61,338.94,1560.28,2061.28,1223.94,2059.28,1718.94,3466.61,4684.28,2943.61,3731.94
Peptide_082,2156.78,2436.78,3770.11,2355.11,1384.44,2659.78,1512.78,4169.11,6531.44,4652.44,2438.78,5632.78,3344.44,1193.78,4855.44,3257.11,3619.11,2205.44,2371.78,1052.78,2437.44,306.44,1213.11,2741.78,1196.78,2123.11,1388.78,3220.11,5042.44,1995.78,3399.78
Peptide_083,2701.06,2455.72,4794.06,2985.06,1660.39,1827.72,1559.39,3455.72,6492.06,5187.06,3188.06,6794.06,3373.72,1273.72,3772.06,3399.39,4602.06,3667.72,4260.39,1267.06,2421.06,584.06,1513.39,3366.72,1382.72,3291.72,1445.72,3176.39,4711.39,1531.72,3852.72
Peptide_084,2087.39,1463.72,2883.06,2238.06,1493.72,1621.06,1397.72,3387.39,6163.72,4768.06,2776.72,5234.39,3004.72,1017.39,2659.39,2764.06,3230.39,1931.06,2806.39,1069.06,2086.72,256.39,1476.72,2522.39,1381.72,2489.72,1307.39,2586.06,3343.39,1278.06,2535.72
Peptide_085,2911.28,2981.61,3792.61,2551.61,1625.28,5178.28,1935.28,5780.28,10356.94,7948.94,3678.61,8796.94,5105.94,1415.61,8906.28,3654.61,4741.61,2634.61,2777.28,1247.28,3627.61,362.94,2298.61,2491.28,1860.61,3323.28,2136.94,3760.94,4930.61,3754.28,5816.61
Peptide_086,3345.78,4497.44,5495.11,3001.44,2184.44,4677.11,2306.44,5302.11,10626.11,11356.44,5035.11,9960.78,8133.78,1978.11,15997.78,4012.44,5792.78,3257.44,2923.44,1566.78,4359.11,493.11,1996.44,3936.78,2789.78,4624.11,2474.11,5270.11,8515.78,5255.11,9730.78
