Peptide,002-00001 v3,002-00005 v3,002-00007 v3,002-00014 v3,002-00031 v3,002-00036 v3,002-00037 v3,002-00040 v3,004-00003 v2,004-00006 v3,004-00008 v3,004-00009 v3,004-00016 v3,004-00017 v2,004-00024 v3,004-00025 v3,002-00003 v3,002-00008 v3,002-00012 v3,002-00016 v3,002-00018 v3,002-00021 v4,002-00022 v4,002-00024 v2,002-00028 v4,002-00029 v3,002-00035 v3,004-00012 v2,004-00022 v3,004-00028 v2,004-00030 v2
Peptide_188,2136.28,2178.28,3069.61,2224.94,1396.61,2685.28,1294.94,4206.61,5735.61,4301.28,2063.28,4534.28,2813.28,793.94,3596.61,2286.61,3499.94,2058.61,2270.94,915.94,1995.94,308.61,1136.94,2401.61,1228.28,2023.94,1214.94,2547.94,4467.61,1437.61,3038.61
Peptide_189,1851.39,1638.72,2909.06,1719.72,956.39,2630.39,812.39,3762.72,5747.39,3564.06,1751.39,4494.39,2415.72,772.39,3245.72,2256.39,2943.39,1993.06,1931.06,830.72,1881.39,284.72,1360.06,2074.39,1033.06,1719.39,990.72,2248.72,3685.39,1164.39,2340.72
Peptide_190,1955.31,1878.31,2854.97,1909.64,1163.97,3727.31,1509.64,4852.97,6794.31,4211.64,1979.97,5478.64,2566.31,878.64,3745.64,2641.97,3255.64,2114.31,2101.31,865.31,2058.31,317.64,1384.64,2004.64,1061.31,1737.64,1265.97,2132.64,3807.97,1283.97,2843.97
Peptide_191,1576.78,1889.78,2189.78,1966.78,1203.78,2836.78,1266.78,3966.78,5460.44,3539.44,1851.78,4461.44,2343.11,765.11,3542.78,2260.78,2571.44,2076.78,2224.11,835.11,1926.11,310.11,1120.11,1586.28,1067.78,1780.11,1141.78,2171.78,3546.78,1079.44,2308.78
Peptide_192,3451.89,3809.22,5133.56,2653.56,1571.89,13185.22,2673.56,13933.56,21807.22,9131.22,3903.89,8565.56,8207.56,1535.56,14927.89,4973.22,4883.56,2937.89,2115.89,837.89,4240.89,428.89,1857.56,2546.39,1667.22,2653.89,2149.22,5389.22,8279.89,4694.56,7428.22
Peptide_193,4570.56,4057.89,6315.56,2786.22,1171.56,28778.22,4406.56,29226.56,50899.22,11662.89,4490.56,9291.22,8438.22,1228.89,17410.56,7093.56,6257.56,3373.22,1682.56,-446.78,5015.56,-519.78,1642.56,5672.22,751.22,2450.89,2153.56,6130.56,6961.89,5079.56,5523.22
Peptide_194,5734.11,5934.78,8642.11,4953.44,2149.44,25810.44,4444.44,35000.78,44841.44,9998.11,4800.78,9218.44,9604.11,2717.78,13721.11,6810.11,10019.78,4551.78,3483.11,744.78,6614.78,-25.22,2244.44,6518.11,1532.11,4135.78,3479.44,7797.44,9213.78,6710.44,5813.44
Peptide_195,4463.64,4461.31,6878.64,4598.97,3697.31,15133.31,4357.31,19853.64,30630.97,8527.31,3452.31,9420.64,7350.97,1802.31,8852.97,5229.64,7612.97,3232.97,2684.64,1371.31,6082.97,533.97,1813.31,3911.31,1897.64,3468.97,2451.97,4673.31,7875.97,3933.64,7987.31
Peptide_196,1598.61,1258.61,3102.28,2591.61,2698.28,1496.28,3266.28,2894.61,4764.61,4034.61,2033.94,4330.94,2667.61,979.61,2104.61,3817.28,2692.94,1744.28,2594.94,1079.28,2062.61,262.61,1150.28,1650.94,1242.28,1587.94,1136.94,2370.94,4118.61,981.94,2697.28
Peptide_197,2127.00,1660.67,3290.00,2237.33,1629.33,1742.67,2816.00,3157.33,5425.33,4361.33,2319.00,5854.67,3151.33,1082.67,3165.67,3139.00,5461.00,2202.00,2982.67,1109.33,2199.33,286.00,1255.00,2331.67,1330.00,2111.33,1266.67,3418.67,4528.00,1383.67,3368.00
