Group,002-00001 v3,002-00005 v3,002-00007 v3,002-00014 v3,002-00031 v3,002-00036 v3,002-00037 v3,002-00040 v3,004-00003 v2,004-00006 v3,004-00008 v3,004-00009 v3,004-00016 v3,004-00017 v2,004-00024 v3,004-00025 v3,002-00003 v3,002-00008 v3,002-00012 v3,002-00016 v3,002-00018 v3,002-00021 v4,002-00022 v4,002-00024 v2,002-00028 v4,002-00029 v3,002-00035 v3,004-00012 v2,004-00022 v3,004-00028 v2,004-00030 v2,,,,,,,,,,,,,
,3929.252,5821.648667,11382.45733,8732.437333,7275.58,6802.651333,5339.262,5787.307333,5335.878,4775.326,6213.674667,5137.823333,6505.800667,2807.636,14927.105,,2609.208,4409.749333,6165.657333,4630.281333,5378.426,4116.094,3909.197333,3841.420667,3693.008667,3931.414667,4311.874667,3369.822667,4287.955333,2607.368,3531.270714,,,,,,,,,,,,,
,2453.518,2865.902667,4160.813333,4068.948,3948.668667,3160.471333,2431.285333,2657.531333,2639.765333,2663.480667,3060.384,2961.532,3255.512,3344.212667,9145.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,2,2,,3,,,4,,,5,,,6,76-90,,7,91-105,,8,106-120,,9,121-135,,10,136-150,,11,151-165,,12,12,,13,13,,14,14,,15,15
,2290.339333,3323.718,,2723.036,4323.304,,3487.169333,4857.968,,3055.038,4318.215333,,3077.648667,4515.392667,,2417.517333,3886.850667,,2001.797333,3191.374,,2243.332,3689.309333,,2332.030667,3493.142,,2207.593333,3651.192667,,2482.784667,4026.096,,2305.732667,3579.222667,,2630.045333,4353.356,,1999.458,3473.812667,,8775.175714,5751.985714
,1961.096,2317.495333,,2691.392,2640.036667,,3339.568667,2832.636,,3147.459333,2878.393333,,3149.248,2690.868667,,2640.205333,2518.516,,2046.464,1944.263333,,2444.643333,2153.266,,2385.832,2088.764667,,2135.858667,2179.836667,,2562.984,2331.873333,,2177.799333,2412.266,,2652.624667,2337.267333,,1570.835333,2121.236,,3117.081429,3278.747143
,3354.018,2851.696667,,4511.438667,3056.992,,5053.79,2915.657333,,4773.948667,3033.481333,,4801.980667,3171.158667,,3696.473333,2690.295333,,3244.373333,2891.063333,,3338.330667,2465.487333,,3320.566,2314.786,,3260.658,2566.882,,3439.674,2519.874,,3679.689333,2842.733333,,3884.09,2164.400667,,3168.834667,3479.879333,,7720.198571,13642.05643
,2208.294667,840.142,,2403.192667,1116.658667,,2582.924,969.236,,2519.992667,992.5146667,,2846.226,1117.359333,,2268.54,1032.584,,1956.175333,857.708,,2102.354,905.8866667,,3146.275333,913.0546667,,2181.303333,924.3266667,,2261.518667,1033.23,,2238.467333,1016.777333,,2433.644667,799,,2152.523333,1251.678667,,9038.152857,4698.747857
,1256.407333,1961.116667,,1439.137333,2907.038,,1484.946,3596.102,,1446.037333,3156.171333,,1773.204,3239.359333,,5192.892667,2704.894667,,1290.596667,2014.084667,,1301.842667,2446.998667,,2013.009333,2412.876667,,1392.17,2299.703333,,1510.252667,2710.696,,1481.022667,2497.199333,,1486.534,2893.066667,,2317.614,3507.613333,,9133.461429,9135.818571
,2874.252,311.2733333,,3760.615333,395.882,,7048.590667,321.2126667,,6075.615333,320.6593333,,4878.781333,402.1586667,,4253.961333,345.5386667,,2398.396667,310.3073333,,3792.51,355.0646667,,4526.519333,357.1873333,,2789.992,436.4373333,,4004.341333,344.7186667,,3318.29,331.4886667,,7492.400667,257.7113333,,1629.168667,265.7906667,,5297.960714,597.6292857
,1410.606667,2044.872667,,1550.548667,1708.437333,,2082.324,2434.100667,,1776.348667,2237.437333,,1863.404667,1939.936,,1608.672667,1532.138667,,1178.052,1432.086667,,1442.431333,1647.488,,1451.610667,1571.3,,1376.125333,1464.527333,,1568.44,1641.185333,,1480.534,1634.378,,1933.778667,1367.134667,,2070.534667,1250.724,,12156.65214,4732.009286
,4177.873333,1917.517333,,5283.481333,2570.048,,8332.369333,3188.178667,,7221.905333,2817.081333,,5812.315333,3063.858667,,5246.606,2341.039333,,3574.907333,1853.164,,5631.642667,2434.766,,5988.252667,2315.043333,,4292.971333,2256.292,,5158.674667,2611.564,,4797.711333,2104.467333,,9283.334,2596.189333,,3006.39,2016.302,,9395.794286,4476.877857
,6100.808,1384.051333,,7823.148,1743.036667,,13800.19067,1750.634667,,13785.50467,1769.592667,,10148.248,1759.003333,,8946.782667,1461.583333,,5355.064667,1412.551333,,7374.109333,1354.844,,8269.566,1407.964667,,5933.326667,1404.482,,8093.697333,1461.608,,8421.466667,1426.045333,,13877.93267,1263.623333,,4726.745333,1191.879333,,11103.795,3935.866429
,4995.495333,2542.406667,,6332.281333,2818.326,,9244.813333,2782.237333,,13947.30467,2686.836667,,6273.758667,2820.546667,,5733.427333,2575.716667,,4966.818,2074.797333,,5009.265333,2060.887333,,5208.342667,2003.676667,,4815.924667,2318.014667,,5823.962667,2508.496667,,5991.266,2483.022667,,5571.711333,2222.8,,4254.368,2015.924,,12656.105,2822.2
,2393.451333,1217.117333,,3047.57,1622.77,,3782.812,1887.300667,,3479.993333,1658.614667,,3009.092,1706.892,,2862.962,1548.405333,,2415.774667,1194.662667,,2396.799333,1412.752667,,2449.540667,1366.032,,2412.326,1297.814,,2690.14,1494.940667,,2970.644,1394.222,,2561.268667,1531.376667,,13624.61267,2692.524667,,3031.009286,11302.76
,4779.873333,2786.076,,7004.858,3214.894,,8546.703333,4688.968667,,7113.681333,4078.658667,,6379.716667,4052.092,,6152.517333,3322.916667,,5532.842667,2865.884667,,5343.909333,2923.399333,,5625.454,2752.987333,,5399.548667,7247.57,,6382.964667,3385.208,,6176.666667,3180.156,,6093.977333,3370.356667,,5110.990667,2417.234667,,6038.962143,4187.342857
,2544.273333,3006.828667,,3617.058667,4058.659333,,5873.588667,5843.079333,,4775.481333,5457.114,,4907.758667,5578.936667,,4401.982667,5237.894667,,3369.307333,4391.974667,,3835.130667,4916.410667,,3361.853333,4384.554,,3252.459333,4210.392,,4076.452,5251.252667,,3710.289333,4652.334667,,4560,5231.867333,,2758.258,3806.946,,4838.225714,5328.128571
,880.7626667,2119.929333,,1111.826,1882.104,,1355.168,3910.367333,,1319.526,3426.216,,1984.848,4069.848667,,1177.583333,2446.851333,,942.796,1816.573333,,1012.042667,4320.532,,985.92,2784.876667,,977.904,1654.57,,1162.472667,2197.318,,1049.533333,1930.956667,,1106.557333,2399.600667,,928.102,1108.057333,,1951.867143,3353.771429
,3929.252,2609.208,,5821.648667,4409.749333,,11382.45733,6165.657333,,8732.437333,4630.281333,,7275.58,5378.426,,6802.651333,4116.094,,5339.262,3909.197333,,5787.307333,3841.420667,,5335.878,3693.008667,,4775.326,3931.414667,,6213.674667,4311.874667,,5137.823333,3369.822667,,6505.800667,4287.955333,,2807.636,2607.368,,14927.105,3531.270714
,2453.518,,,2865.902667,,,4160.813333,,,4068.948,,,3948.668667,,,3160.471333,,,2431.285333,,,2657.531333,,,2639.765333,,,2663.480667,,,3060.384,,,2961.532,,,3255.512,,,3344.212667,,,9145.795,
